Survived,Age,SibSp,Parch,Fare,Relatives,IsAlone,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3
0,22.0,1,0,7.25,1,0.0,True,False,True,False,True
1,38.0,1,0,71.2833,1,0.0,False,False,False,False,False
1,26.0,0,0,7.925,0,1.0,False,False,True,False,True
1,35.0,1,0,53.1,1,0.0,False,False,True,False,False
0,35.0,0,0,8.05,0,1.0,True,False,True,False,True
0,29.69911764705882,0,0,8.4583,0,1.0,True,True,False,False,True
0,54.0,0,0,51.8625,0,1.0,True,False,True,False,False
0,2.0,3,1,21.075,4,0.0,True,False,True,False,True
1,27.0,0,2,11.1333,2,0.0,False,False,True,False,True
1,14.0,1,0,30.0708,1,0.0,False,False,False,True,False
1,4.0,1,1,16.7,2,0.0,False,False,True,False,True
1,58.0,0,0,26.55,0,1.0,False,False,True,False,False
0,20.0,0,0,8.05,0,1.0,True,False,True,False,True
0,39.0,1,5,31.275,6,0.0,True,False,True,False,True
0,14.0,0,0,7.8542,0,1.0,False,False,True,False,True
1,55.0,0,0,16.0,0,1.0,False,False,True,True,False
0,2.0,4,1,29.125,5,0.0,True,True,False,False,True
1,29.69911764705882,0,0,13.0,0,1.0,True,False,True,True,False
0,31.0,1,0,18.0,1,0.0,False,False,True,False,True
1,29.69911764705882,0,0,7.225,0,1.0,False,False,False,False,True
0,35.0,0,0,26.0,0,1.0,True,False,True,True,False
1,34.0,0,0,13.0,0,1.0,True,False,True,True,False
1,15.0,0,0,8.0292,0,1.0,False,True,False,False,True
1,28.0,0,0,35.5,0,1.0,True,False,True,False,False
0,8.0,3,1,21.075,4,0.0,False,False,True,False,True
1,38.0,1,5,31.3875,6,0.0,False,False,True,False,True
0,29.69911764705882,0,0,7.225,0,1.0,True,False,False,False,True
0,19.0,3,2,263.0,5,0.0,True,False,True,False,False
1,29.69911764705882,0,0,7.8792,0,1.0,False,True,False,False,True
0,29.69911764705882,0,0,7.8958,0,1.0,True,False,True,False,True
0,40.0,0,0,27.7208,0,1.0,True,False,False,False,False
1,29.69911764705882,1,0,146.5208,1,0.0,False,False,False,False,False
1,29.69911764705882,0,0,7.75,0,1.0,False,True,False,False,True
